dataset,profile,method,method_label,mean,std,min,max,count
hateful_memes,cosine,ours_sample_package_influence_only,Teacher-pkg-no-loss,50.0,0.0,50,50,3
hateful_memes,cosine,ours_sample_package_krr,Ours-online-pkg-KRR,46.0,4.0,42,50,3
hateful_memes,cosine,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,39.333333333333336,5.131601439446884,35,45,3
hateful_memes,cosine,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,40.0,8.18535277187245,31,47,3
hateful_memes,cosine,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,40.666666666666664,1.154700538379251,40,42,3
hateful_memes,cosine,ours_sample_package_task_operator,Ours-online-pkg-task,17.0,1.7320508075688772,15,18,3
hateful_memes,cosine,ours_task_operator,Ours-online-task,9.666666666666666,4.509249752822894,5,14,3
hateful_memes,kmeans_center,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hateful_memes,kmeans_center,ours_influence_only,Teacher-no-loss,4.333333333333333,3.2145502536643185,2,8,3
hateful_memes,kmeans_center,ours_kernel_ridge_student,Ours-online-KRR,19.0,3.605551275463989,16,23,3
hateful_memes,kmeans_center,ours_krr_influence_only,Ours-online-KRR-no-loss,3.0,2.6457513110645907,0,5,3
hateful_memes,kmeans_center,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,28.0,7.54983443527075,20,35,3
hateful_memes,kmeans_center,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
hateful_memes,kmeans_center,ours_sample_package_direct,Teacher-pkg-direct,49.666666666666664,0.5773502691896247,49,50,3
hateful_memes,kmeans_center,ours_sample_package_influence_only,Teacher-pkg-no-loss,16.333333333333332,6.027713773341708,10,22,3
hateful_memes,kmeans_center,ours_sample_package_krr,Ours-online-pkg-KRR,26.666666666666668,0.5773502691896255,26,27,3
hateful_memes,kmeans_center,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,9.666666666666666,7.505553499465135,2,17,3
hateful_memes,kmeans_center,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,28.333333333333332,3.0550504633038935,25,31,3
hateful_memes,kmeans_center,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,47.0,1.7320508075688772,45,48,3
hateful_memes,kmeans_center,ours_sample_package_task_operator,Ours-online-pkg-task,38.333333333333336,6.506407098647712,32,45,3
hateful_memes,kmeans_center,ours_task_operator,Ours-online-task,36.0,4.58257569495584,31,40,3
hateful_memes,noise,ours_downstream_direct,Teacher-direct,47.333333333333336,2.3094010767585034,46,50,3
hateful_memes,noise,ours_influence_only,Teacher-no-loss,50.0,0.0,50,50,3
hateful_memes,noise,ours_kernel_ridge_student,Ours-online-KRR,45.333333333333336,3.055050463303893,42,48,3
hateful_memes,noise,ours_krr_influence_only,Ours-online-KRR-no-loss,30.0,1.0,29,31,3
hateful_memes,noise,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,0.0,0.0,0,0,3
hateful_memes,noise,ours_loss_reduction_only,Teacher-no-influence,18.333333333333332,3.0550504633038935,15,21,3
hateful_memes,noise,ours_sample_package_direct,Teacher-pkg-direct,50.0,0.0,50,50,3
hateful_memes,noise,ours_sample_package_influence_only,Teacher-pkg-no-loss,50.0,0.0,50,50,3
hateful_memes,noise,ours_sample_package_krr,Ours-online-pkg-KRR,49.0,1.7320508075688772,47,50,3
hateful_memes,noise,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,36.333333333333336,3.214550253664317,34,40,3
hateful_memes,noise,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,11.333333333333334,2.3094010767585034,10,14,3
hateful_memes,noise,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,39.333333333333336,6.429100507328636,32,44,3
hateful_memes,noise,ours_sample_package_task_operator,Ours-online-pkg-task,4.666666666666667,2.516611478423583,2,7,3
hateful_memes,noise,ours_task_operator,Ours-online-task,0.3333333333333333,0.5773502691896258,0,1,3
hateful_memes,typiclust_dense,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hateful_memes,typiclust_dense,ours_influence_only,Teacher-no-loss,4.666666666666667,3.055050463303893,2,8,3
hateful_memes,typiclust_dense,ours_kernel_ridge_student,Ours-online-KRR,19.0,2.6457513110645907,17,22,3
hateful_memes,typiclust_dense,ours_krr_influence_only,Ours-online-KRR-no-loss,3.0,2.6457513110645907,0,5,3
hateful_memes,typiclust_dense,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,29.666666666666668,7.767453465154029,21,36,3
hateful_memes,typiclust_dense,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
hateful_memes,typiclust_dense,ours_sample_package_direct,Teacher-pkg-direct,49.666666666666664,0.5773502691896247,49,50,3
hateful_memes,typiclust_dense,ours_sample_package_influence_only,Teacher-pkg-no-loss,13.333333333333334,3.7859388972001824,9,16,3
hateful_memes,typiclust_dense,ours_sample_package_krr,Ours-online-pkg-KRR,30.0,1.0,29,31,3
