run_seed,dataset,profile,market_size,good_count,good_ratio,decoy_type_good_ratio,static_target_top_good_count,static_target_top_good_ratio,static_target_top_downstream_gain_mean,downstream_gain_mean_good,downstream_gain_mean_bad,anchor_test_auroc,anchor_test_macro_f1,anchor_test_acc
42,mscoco,kmeans_center,5000,500,0.1,0.942,6,0.12,2.0422229766845703,4.186466217041016,-0.3301368951797485,0.78174140625,0.3333333333333333,0.5
42,mscoco,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-1.1108269691467283,4.274457931518555,-0.2113479524850845,0.78174140625,0.3333333333333333,0.5
42,mscoco,cosine,5000,500,0.1,1.0,0,0.0,0.8363646864891052,4.276025295257568,-0.6129725575447083,0.78174140625,0.3333333333333333,0.5
42,mscoco,all_average,5000,500,0.1,1.0,0,0.0,-0.519365131855011,4.184583187103272,-1.3665246963500977,0.78174140625,0.3333333333333333,0.5
43,hateful_memes,noise,5000,500,0.1,1.0,0,0.0,-0.7208417654037476,3.0367271900177,-0.8442856073379517,0.5274017137096775,0.3697478991596639,0.5866666666666667
43,hateful_memes,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-1.6392022371292114,3.0367271900177,-0.5476089119911194,0.5274017137096775,0.3697478991596639,0.5866666666666667
43,hateful_memes,typiclust_dense,5000,500,0.1,0.996,0,0.0,-0.9230153560638428,3.0195560455322266,-0.26322141289711,0.5274017137096775,0.3697478991596639,0.5866666666666667
43,hateful_memes,kmeans_center,5000,500,0.1,0.996,0,0.0,-0.877391517162323,3.018044233322144,-0.2897198796272278,0.5274017137096775,0.3697478991596639,0.5866666666666667
43,hateful_memes,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-0.9102982878684998,3.036726951599121,-0.2078939080238342,0.5274017137096775,0.3697478991596639,0.5866666666666667
43,hateful_memes,cosine,5000,500,0.1,1.0,0,0.0,-0.1476597934961319,3.0346622467041016,-0.6832488179206848,0.5274017137096775,0.3697478991596639,0.5866666666666667
43,hateful_memes,all_average,5000,500,0.1,1.0,0,0.0,-0.8414545655250549,3.0056231021881104,-1.5199354887008667,0.5274017137096775,0.3697478991596639,0.5866666666666667
43,hatespeech,noise,5000,500,0.1,1.0,0,0.0,-0.8791103363037109,3.258908271789551,-0.995230495929718,0.5615220599999999,0.3333333333333333,0.5
43,hatespeech,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-1.5134156942367554,3.258908271789551,-0.6172556281089783,0.5615220599999999,0.3333333333333333,0.5
43,hatespeech,typiclust_dense,5000,500,0.1,0.996,5,0.1,1.6605333089828491,3.251215934753418,-0.1414831578731537,0.5615220599999999,0.3333333333333333,0.5
43,hatespeech,kmeans_center,5000,500,0.1,0.996,8,0.16,0.4808047115802765,3.251251220703125,-0.1678623110055923,0.5615220599999999,0.3333333333333333,0.5
43,hatespeech,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-1.13863205909729,3.259305000305176,-0.0608318001031875,0.5615220599999999,0.3333333333333333,0.5
43,hatespeech,cosine,5000,500,0.1,1.0,0,0.0,-0.2730390429496765,3.2598531246185303,-0.7681699395179749,0.5615220599999999,0.3333333333333333,0.5
43,hatespeech,all_average,5000,500,0.1,1.0,0,0.0,-0.8977676630020142,3.2257983684539795,-1.7512564659118652,0.5615220599999999,0.3333333333333333,0.5
43,mscoco,noise,5000,500,0.1,1.0,0,0.0,-0.2950916588306427,4.558297634124756,-0.970439910888672,0.88774971875,0.3333333333333333,0.5
43,mscoco,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-2.458691120147705,4.558297634124756,-0.6429193615913391,0.88774971875,0.3333333333333333,0.5
