dataset,profile,method,purchase_ratio,purchase_total,test_auroc_mean,test_auroc_std,test_macro_f1_mean,test_macro_f1_std,test_acc_mean,test_acc_std,eval_time_mean,eval_time_std,good_count_mean,good_count_std,method_label
hateful_memes,coreset_far_wrong,market_coreset_select,0.01,50,0.5101359359726295,0.052385116241957186,0.3697478991596639,0.0,0.5866666666666667,0.0,0.16803813333338743,0.0562679065387305,0.0,0.0,CoreSet
hateful_memes,coreset_far_wrong,market_coreset_select,0.02,100,0.5000726264662757,0.013838558923939428,0.3697478991596639,0.0,0.5866666666666667,0.0,0.244365900000048,0.10122997031063433,0.0,0.0,CoreSet
hateful_memes,coreset_far_wrong,market_cosine_select,0.0025,12,0.5434169568670577,0.010868939553408856,0.3697478991596639,0.0,0.5866666666666667,0.0,0.21067766666647,0.05079038077025548,0.3333333333333333,0.5773502691896258,Cosine
hateful_memes,coreset_far_wrong,market_cosine_select,0.005,25,0.5439230510752688,0.016513585061011523,0.3697478991596639,0.0,0.5866666666666667,0.0,0.21550413333352478,0.0016071516181510646,0.3333333333333333,0.5773502691896258,Cosine
hateful_memes,coreset_far_wrong,market_cosine_select,0.01,50,0.5247997617302053,0.012937696747583553,0.3697478991596639,0.0,0.5866666666666667,0.0,0.11521473333323223,0.03662928140705207,2.6666666666666665,1.5275252316519465,Cosine
hateful_memes,coreset_far_wrong,market_cosine_select,0.02,100,0.5296661931818182,0.06606170186083014,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.15215376666613636,0.0502095276106788,8.0,3.0,Cosine
hateful_memes,coreset_far_wrong,market_kmeans_center_select,0.0025,12,0.5424235551075269,0.020845809668217627,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.14688799999991406,0.017142002837203713,11.0,1.7320508075688772,KMeans
hateful_memes,coreset_far_wrong,market_kmeans_center_select,0.005,25,0.5406973209921798,0.003215086458476333,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.14563533333330267,0.015536682881791183,23.666666666666668,1.5275252316519465,KMeans
hateful_memes,coreset_far_wrong,market_kmeans_center_select,0.01,50,0.5203298356549365,0.041242875771692715,0.3697478991596639,0.0,0.5866666666666667,0.0,0.1498637666665369,0.012712921773305593,46.0,3.605551275463989,KMeans
hateful_memes,coreset_far_wrong,market_kmeans_center_select,0.02,100,0.5363735642717498,0.02440030984024636,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.14394403333305186,0.03898252263782374,93.0,2.0,KMeans
hateful_memes,coreset_far_wrong,market_random_select,0.0025,12,0.5369240285923754,0.01796194087855016,0.3697478991596639,0.0,0.5866666666666667,0.0,0.14726896666661557,0.030943152639428522,2.0,0.0,Random
hateful_memes,coreset_far_wrong,market_random_select,0.005,25,0.5340680749022483,0.03694740089836184,0.3697478991596639,0.0,0.5866666666666667,0.0,0.14940043333353967,0.011945256440403307,3.0,1.0,Random
hateful_memes,coreset_far_wrong,market_random_select,0.01,50,0.5424130162512218,0.01221722654304851,0.3697478991596639,0.0,0.5866666666666667,0.0,0.1423758000002332,0.024858299297694432,6.0,1.0,Random
hateful_memes,coreset_far_wrong,market_random_select,0.02,100,0.5130023521505377,0.054987969959622005,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.13198476666669498,0.03258165417176133,9.666666666666666,2.0816659994661326,Random
hateful_memes,coreset_far_wrong,market_typiclust_select,0.0025,12,0.5222637157869013,0.01790679766251456,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.1252373666666244,0.028325978609186564,7.666666666666667,2.309401076758503,TypiClust
hateful_memes,coreset_far_wrong,market_typiclust_select,0.005,25,0.5398495540078202,0.011641569835197192,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.14320586666675197,0.025249998777607145,17.333333333333332,3.5118845842842465,TypiClust
hateful_memes,coreset_far_wrong,market_typiclust_select,0.01,50,0.5074683070625611,0.026775053527709813,0.3697478991596639,0.0,0.5866666666666667,0.0,0.11363953333360156,0.031144265357366595,40.333333333333336,2.5166114784235822,TypiClust
hateful_memes,coreset_far_wrong,market_typiclust_select,0.02,100,0.5216203873411535,0.020786603017634662,0.3439828761693356,0.044626328877428706,0.5288888888888889,0.10007404665953516,0.15474759999991264,0.013813786383180718,83.33333333333333,3.2145502536643202,TypiClust
