dataset,profile,method,seed,selected_rows,good_count,good_ratio,downstream_gain_mean,harm_score_mean,loss_reduction_mean,influence_gain_mean,collapse_to_single_digits,scoring_semantics,online_scoring_uses_downstream_model,sample_packaging_enabled,package_size,scored_objects,student_calibration_size,student_landmark_count,student_sigma2,student_supervision,eval_time,test_auroc,test_macro_f1,test_acc,type_coreset_far_wrong_decoy,type_kmeans_center_decoy,type_noise_decoy,type_uncertainty_badge_decoy,ckks_simd_enabled,ckks_scheme,primary_metric,primary_metric_value,type_typiclust_dense_decoy,ckks_reference_rows,ckks_reference_dim,ckks_reference_package_size,ckks_rows_per_second_mean,ckks_est_encrypted_compute_ms,ckks_scaled_from_reference_ms,ckks_ref_encrypted_compute_ms_mean,ckks_ref_rows_per_second_mean,ckks_ref_scored_objects_per_second_mean,ckks_ref_output_ciphertext_bytes_mean,ckks_ref_ct_pt_mults_mean,ckks_ref_rotations_mean,ckks_ref_additions_mean,ckks_ref_rescales_mean,ckks_ref_scored_objects,ckks_ref_raw_rows_per_scored_object,type_cosine_decoy,type_useful_clean,run_seed,run_dir,purchase_ratio,purchase_total,ratio_market_size
hateful_memes,all_average,market_badge_select,42,25,1,0.04,-0.8611068725585938,0.8611068725585938,-0.0001643204741412,0.0140732517465949,1,baseline_model_based,1,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1530162999997628,0.5295268969941349,0.3697478991596639,0.5866666666666667,,,25.0,,0,,good_count,1.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hateful_memes,all_average,market_kmeans_center_select,42,25,0,0.0,-1.0086976289749146,1.0086976289749146,-8.183717727661133e-05,-0.0055583352223038,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1342389000001276,0.5438409549120236,0.2924528301886792,0.4133333333333333,,10.0,,1.0,0,,good_count,0.0,14.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hateful_memes,all_average,market_typiclust_select,42,25,0,0.0,-1.38621187210083,1.38621187210083,-8.957624231697991e-05,-0.0139611195772886,1,baseline_feature,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.130597299999863,0.5326516678885631,0.2924528301886792,0.4133333333333333,,10.0,,,0,,good_count,0.0,13.0,,,,,,,,,,,,,,,,,2.0,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hateful_memes,all_average,ours_kernel_ridge_student,42,25,14,0.56,0.6002549529075623,-0.6002549529075623,9.505271736998112e-05,0.0027439342811703,0,online_student,0,0,1,5000,28000,1000,0.9174745082855223,top_quantile,0.1572955999999976,0.5250829362170087,0.3697478991596639,0.5866666666666667,,9.0,,6.0,1,ours_student_row_ctpt,good_count,14.0,10.0,10000.0,64.0,4.0,92931.597765,53.80301340178943,53.80903000000001,107.61806,92931.597765,92931.597765,705941.0,192.0,0.0,192.0,192.0,10000.0,1.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hateful_memes,all_average,ours_sample_package_krr,42,25,14,0.56,0.6002549529075623,-0.6002549529075623,9.505271736998112e-05,0.0027439342811703,0,online_student,0,1,4,1250,28000,1000,0.9174745082855223,top_quantile,0.1559965999999804,0.5394270069648094,0.3697478991596639,0.5866666666666667,,9.0,,6.0,1,ours_student_pkg_ctpt,good_count,14.0,10.0,10000.0,64.0,4.0,1786105.677236,2.799386432575201,2.80927,5.61854,1786105.677236,446526.419309,235320.0,10.0,0.0,10.0,10.0,2500.0,4.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,noise,market_random_select,142,25,2,0.08,-0.8609232306480408,0.8609232306480408,-9.0451241703704e-05,0.0295355860143899,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.3506962999999814,0.5593543000000001,0.3333333333333333,0.5,1.0,1.0,16.0,7.0,0,,good_count,2.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,noise,market_cosine_select,142,25,0,0.0,-0.2833605408668518,0.2833605408668518,-7.476806786144152e-06,0.0168208871036767,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2574580999998943,0.53605668,0.3333333333333333,0.5,,,,25.0,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,noise,market_coreset_select,142,25,0,0.0,-1.1233290433883667,1.1233290433883667,-0.000108156207716,0.0241633914411067,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2649151000000529,0.55739306,0.3333333333333333,0.5,,,25.0,,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,noise,market_badge_select,142,25,0,0.0,-0.9170652627944946,0.9170652627944946,-8.290290861623362e-05,0.0220646206289529,1,baseline_model_based,1,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2285698000000593,0.57392416,0.3333333333333333,0.5,,,25.0,,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,noise,market_kmeans_center_select,142,25,25,1.0,3.090500593185425,-3.090500593185425,0.0002249479293823,0.0832255184650421,0,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2259229000001141,0.56993762,0.3333333333333333,0.5,,9.0,,,0,,good_count,25.0,16.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
