dataset,profile,method,seed,selected_rows,good_count,good_ratio,downstream_gain_mean,harm_score_mean,loss_reduction_mean,influence_gain_mean,collapse_to_single_digits,scoring_semantics,online_scoring_uses_downstream_model,sample_packaging_enabled,package_size,sample_packaging_stage,sample_package_summary,seller_packaging_rule,package_count,package_size_min,package_size_max,scored_objects,student_calibration_size,student_landmark_count,student_sigma2,student_supervision,eval_time,test_auroc,test_macro_f1,test_acc,type_coreset_far_wrong_decoy,type_kmeans_center_decoy,type_typiclust_dense_decoy,type_uncertainty_badge_decoy,ckks_simd_enabled,ckks_scheme,ckks_reference_rows,ckks_reference_dim,ckks_reference_package_size,ckks_rows_per_second_mean,ckks_est_encrypted_compute_ms,ckks_scaled_from_reference_ms,ckks_est_input_prepare_encrypt_ms,ckks_est_decrypt_decode_ms,ckks_est_total_full_flow_ms,ckks_ref_input_prepare_encrypt_ms_mean,ckks_ref_encrypted_compute_ms_mean,ckks_ref_decrypt_decode_ms_mean,ckks_ref_total_full_flow_ms_mean,ckks_ref_rows_per_second_mean,ckks_ref_scored_objects_per_second_mean,ckks_ref_output_ciphertexts_mean,ckks_ref_decoded_values_mean,ckks_ref_input_ciphertexts_mean,ckks_ref_input_ciphertext_bytes_mean,ckks_ref_output_ciphertext_bytes_mean,ckks_ref_total_communication_bytes_mean,ckks_ref_ct_ct_mults_mean,ckks_ref_ct_pt_mults_mean,ckks_ref_rotations_mean,ckks_ref_additions_mean,ckks_ref_relinearizations_mean,ckks_ref_rescales_mean,ckks_ref_scored_objects,ckks_ref_raw_rows_per_scored_object,primary_metric,primary_metric_value,type_cosine_decoy,type_useful_clean,package_size_sweep,run_seed,type_noise_decoy
mscoco,all_average,ours_sample_package_krr,242,48,48,1.0,5.154260635375977,-5.154260635375977,0.0003176977334078,0.0064210915006697,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.1260383129119873,top_quantile,0.0,,,,,17.0,16.0,15.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,42,
hateful_memes,noise,ours_sample_package_krr,43,48,46,0.9583333333333334,3.0000598430633545,-3.0000598430633545,0.000280567765003,0.0412129871547222,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0231167078018188,top_quantile,0.0,,,,,16.0,21.0,11.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,46.0,,,2,43,
hateful_memes,coreset_far_wrong,ours_sample_package_krr,43,48,48,1.0,3.237663507461548,-3.237663507461548,0.00029588243342,0.0456129908561706,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0231167078018188,top_quantile,0.0,,,,,22.0,19.0,7.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,43,
hateful_memes,typiclust_dense,ours_sample_package_krr,43,48,25,0.5208333333333334,2.0749781131744385,-2.0749781131744385,0.0001845968217821,0.034064132720232,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0231167078018188,top_quantile,0.0,,,,,14.0,31.0,3.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,25.0,,,2,43,
hateful_memes,kmeans_center,ours_sample_package_krr,43,48,30,0.625,2.0149550437927246,-2.0149550437927246,0.0001902294607134,0.0303431060165166,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0231167078018188,top_quantile,0.0,,,,,26.0,17.0,5.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,30.0,,,2,43,
hateful_memes,uncertainty_badge,ours_sample_package_krr,43,48,39,0.8125,2.850478410720825,-2.850478410720825,0.000250719487667,0.0439927764236927,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0231167078018188,top_quantile,0.0,,,,,20.0,15.0,13.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,39.0,,,2,43,
hateful_memes,cosine,ours_sample_package_krr,43,48,46,0.9583333333333334,2.976191759109497,-2.976191759109497,0.0002764090895652,0.041490651667118,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0231167078018188,top_quantile,0.0,,,,,19.0,22.0,7.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,46.0,,,2,43,
hateful_memes,all_average,ours_sample_package_krr,43,48,33,0.6875,1.4399398565292358,-1.4399398565292358,0.0001528908760519,0.0197707042098045,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0231167078018188,top_quantile,0.0,,,,,20.0,22.0,6.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,33.0,,,2,43,
hatespeech,noise,ours_sample_package_krr,143,48,48,1.0,3.5411784648895264,-3.5411784648895264,0.0010254742810502,0.0858551189303398,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.924261748790741,top_quantile,0.0,,,,,15.0,21.0,12.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,43,
hatespeech,coreset_far_wrong,ours_sample_package_krr,143,48,48,1.0,3.5172364711761475,-3.5172364711761475,0.0010165671119466,0.0858374238014221,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.924261748790741,top_quantile,0.0,,,,,19.0,18.0,11.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,43,
hatespeech,typiclust_dense,ours_sample_package_krr,143,48,28,0.5833333333333334,1.7071857452392578,-1.7071857452392578,0.0005769121344201,0.0466859675943851,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.924261748790741,top_quantile,0.0,,,,,13.0,26.0,9.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,28.0,,,2,43,
hatespeech,kmeans_center,ours_sample_package_krr,143,48,27,0.5625,0.5536584854125977,-0.5536584854125977,0.000287185102934,0.0232783686369657,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.924261748790741,top_quantile,0.0,,,,,23.0,19.0,6.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,27.0,,,2,43,
